measure,time_signature,key_signature,tempo,start_beat,pickup
1,4/4,C minor,116.0,1,false
2,4/4,C minor,116.0,1,false
3,4/4,C minor,116.0,1,false
4,4/4,C minor,116.0,1,false
5,4/4,C minor,116.0,1,false
6,4/4,C minor,116.0,1,false
7,4/4,C minor,116.0,1,false
8,4/4,C minor,116.0,1,false
9,4/4,C minor,116.0,1,false
10,4/4,C minor,116.0,1,false
11,4/4,C minor,116.0,1,false
12,4/4,C minor,116.0,1,false
13,4/4,C minor,116.0,1,false
14,4/4,C minor,116.0,1,false
15,4/4,C minor,116.0,1,false
16,4/4,C minor,116.0,1,false
17,4/4,C minor,116.0,1,false
18,4/4,C minor,116.0,1,false
19,4/4,C minor,116.0,1,false
20,4/4,C minor,116.0,1,false
21,4/4,C minor,116.0,1,false
22,4/4,C minor,116.0,1,false
23,4/4,C minor,116.0,1,false
24,4/4,C minor,116.0,1,false
25,4/4,C minor,116.0,1,false
26,4/4,C minor,116.0,1,false
27,4/4,C minor,116.0,1,false
28,4/4,C minor,116.0,1,false
29,4/4,C minor,116.0,1,false
30,4/4,C minor,116.0,1,false
31,4/4,C minor,116.0,1,false
32,4/4,C minor,116.0,1,false
33,4/4,C minor,116.0,1,false
34,4/4,C minor,116.0,1,false
35,4/4,C minor,116.0,1,false
36,4/4,C minor,116.0,1,false
37,4/4,C minor,116.0,1,false
38,4/4,C minor,116.0,1,false
39,4/4,C minor,116.0,1,false
40,4/4,C minor,116.0,1,false
41,4/4,C minor,116.0,1,false
42,4/4,C minor,116.0,1,false
43,4/4,C minor,116.0,1,false
44,4/4,C minor,116.0,1,false
45,4/4,C minor,116.0,1,false
46,4/4,C minor,116.0,1,false
47,4/4,C minor,116.0,1,false
48,4/4,C minor,116.0,1,false
49,4/4,C minor,116.0,1,false
50,4/4,C minor,116.0,1,false
51,4/4,C minor,116.0,1,false
52,4/4,C minor,116.0,1,false
53,4/4,C minor,116.0,1,false
54,4/4,C minor,116.0,1,false
55,4/4,C minor,116.0,1,false
56,4/4,C minor,116.0,1,false
57,4/4,C minor,116.0,1,false
58,4/4,C minor,116.0,1,false
59,4/4,C minor,116.0,1,false
60,4/4,C minor,116.0,1,false
61,4/4,C minor,116.0,1,false
62,4/4,C minor,116.0,1,false
63,4/4,C minor,116.0,1,false
64,4/4,C minor,116.0,1,false
65,4/4,C minor,116.0,1,false
66,4/4,C minor,116.0,1,false
67,4/4,C minor,116.0,1,false
68,4/4,C minor,116.0,1,false
69,4/4,C minor,116.0,1,false
70,4/4,C minor,116.0,1,false
71,4/4,C minor,116.0,1,false
72,4/4,C minor,116.0,1,false
73,4/4,C minor,116.0,1,false
74,4/4,C minor,116.0,1,false
75,4/4,C minor,116.0,1,false
76,4/4,C minor,116.0,1,false
77,4/4,C minor,116.0,1,false
78,4/4,C minor,116.0,1,false
79,4/4,C minor,116.0,1,false
80,4/4,C minor,116.0,1,false
81,4/4,C minor,116.0,1,false
82,4/4,C minor,116.0,1,false
83,4/4,C minor,116.0,1,false
84,4/4,C minor,116.0,1,false
85,4/4,C minor,116.0,1,false
86,4/4,C minor,116.0,1,false
87,4/4,C minor,116.0,1,false
88,4/4,C minor,116.0,1,false
89,4/4,C minor,116.0,1,false
90,4/4,C minor,116.0,1,false
91,4/4,C minor,116.0,1,false
92,4/4,C minor,116.0,1,false
93,4/4,C minor,116.0,1,false
94,4/4,C minor,116.0,1,false
95,4/4,C minor,116.0,1,false
96,4/4,C minor,116.0,1,false
97,4/4,C minor,116.0,1,false
98,4/4,C minor,116.0,1,false
99,4/4,C minor,116.0,1,false
100,4/4,C minor,116.0,1,false
101,4/4,C minor,116.0,1,false
102,4/4,C minor,116.0,1,false
103,4/4,C minor,116.0,1,false
104,4/4,C minor,116.0,1,false
105,4/4,C minor,116.0,1,false
106,4/4,C minor,116.0,1,false
107,4/4,C minor,116.0,1,false
108,4/4,C minor,116.0,1,false
109,4/4,C minor,116.0,1,false
110,4/4,C minor,116.0,1,false
111,4/4,C minor,116.0,1,false
112,4/4,C minor,116.0,1,false
113,4/4,C minor,116.0,1,false
114,4/4,C minor,116.0,1,false
115,4/4,C minor,116.0,1,false
116,4/4,C minor,116.0,1,false
117,4/4,C minor,116.0,1,false
118,4/4,C minor,116.0,1,false
119,4/4,C minor,116.0,1,false
120,4/4,C minor,116.0,1,false
121,4/4,C minor,116.0,1,false
122,4/4,C minor,116.0,1,false
123,4/4,C minor,116.0,1,false
124,4/4,C minor,116.0,1,false
125,4/4,C minor,116.0,1,false
126,4/4,C minor,116.0,1,false
127,4/4,C minor,116.0,1,false
128,4/4,C minor,116.0,1,false
129,4/4,C minor,116.0,1,false
130,4/4,C minor,116.0,1,false
131,4/4,C minor,116.0,1,false
132,4/4,C minor,116.0,1,false
133,4/4,C minor,116.0,1,false
134,4/4,C minor,116.0,1,false
135,4/4,C minor,116.0,1,false
136,4/4,C minor,116.0,1,false
137,4/4,C minor,116.0,1,false
138,4/4,C minor,116.0,1,false
139,4/4,C minor,116.0,1,false
140,4/4,C minor,116.0,1,false
